tweet|username|tanggal
@ssilzw Assalamualaikum Kak, sebelumnya kami mohon maaf atas ketidaknyamanannya. Saat ini untuk layanan Bank Syariah Indonesia masih dalam tahap normalisasi dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile,(1)|bankbsi_id|2023-05-13
PT Bank Syariah Indonesia Tbk. (BRIS) atau BSI angkat bicara terkait isu kebocoran data nasabah akibat adanya serangan kelompok ransomware LockBit 3.0. https://t.co/eBmCDUOQvB|Bisniscom|2023-05-13
Geng ransomware LockBit mengakui menjadi dalang dibalik lumpuhnya layanan PT Bank Syariah Indonesia Tbk (BSI). #bisnisupdate #update #bisnis #text https://t.co/sc5jrLWNIn|kumparan|2023-05-13
Wah Kacau! 15 juta Data Nasabah Bank Syariah Indonesia (BSI) Bocor oleh hacker lockbit ramsomware? https://t.co/AEV7Nuomb5|pakar_ai|2023-05-13
@ayurizkamahara Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat, namun hanya beberapa transaksi yang baru dapat dilakukan. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah(3)|bankbsi_id|2023-05-13
@mo_duit atau mendatangi Kantor Cabang BSI terdekat membawa KTP Asli, Buku Tabungan, dan Kartu Debit BSI. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu (2/4)|bankbsi_id|2023-05-13
Beberapa hari belakang denger berbagai masalah keamanan @bankbsi_id di saat lagi pergi conference ke luar kota &amp; ga bawa HP Indonesia yg ada BSI mobile apps. Sejak ketauan masalah transaksi bulan Jan lalu udah mau pindah bank, apa daya belum bisa buka akun bank syariah lain. 🥲 https://t.co/erEwmLXOAh|Realhaya|2023-05-13
@pakdhekk Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3/6)|bankbsi_id|2023-05-13
@iyamJung Kakak juga dapat bertransaksi melalui mesin ATM BSI dan Kantor Cabang BSI terdekat. Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, (3/6)|bankbsi_id|2023-05-13
@farisbill Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(5)|bankbsi_id|2023-05-13
@farisbill dapat kami informasikan saat ini Alhamdulillah layanan perbankan Bank Syariah Indonesia sudah pulih secara bertahap dan sudah ada beberapa transaksi yang dapat dilakukan melalui Aplikasi BSI Mobile (2)|bankbsi_id|2023-05-13
@amar_mz Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(2)|bankbsi_id|2023-05-13
Grup peretas LockBit mengancam akan membocorkan data nasabah Bank Syariah Indonesia (BSI), apabila perusahaan perbankan tersebut tidak membayar tebusan hingga 16 Mei 2023. https://t.co/jwgWNq5JVb|barul_js|2023-05-13
kebocoran data besar, dulu Tokopedia, sekarang Bank Syariah Indonesia (BSI), selanjutnya... 🤔 seluruh data kependudukan negara ini  😅|rainkarnich|2023-05-13
OJK meminta masyarakat tetap tenang dalam menyikapi beredarnya informasi terkait gangguan yang terjadi di Bank Syariah Indonesia (BSI). https://t.co/VOQPJWPYYI|detikfinance|2023-05-13
@nunanonaa Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(2)|bankbsi_id|2023-05-13
@HendroHomeira Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(3/5)|bankbsi_id|2023-05-13
@putrasiswandoyo Bank Syariah Indonesia berkomitmen untuk terus meningkatkan pelayanan kepada Nasabah, dan sangat berterima kasih atas kepercayaan yang diberikan serta selalu setia menggunakan produk dan layanan BSI.(2)|bankbsi_id|2023-05-13
